v8-version,5,8,283,41,0
code-creation,Builtin,5,0x205fd2a57660,134,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,5,0x205fd2a57700,124,"ReturnReceiver"
code-creation,Builtin,5,0x205fd2a57780,300,"GeneratorPrototypeNext"
code-creation,Builtin,5,0x205fd2a578c0,339,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,0x205fd2a57a20,335,"CreateIterResultObject"
code-creation,Builtin,5,0x205fd2a57b80,308,"GeneratorPrototypeReturn"
code-creation,Builtin,5,0x205fd2a57cc0,320,"GeneratorPrototypeThrow"
code-creation,Builtin,5,0x205fd2a57e00,12075,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,0x205fd2a5ad40,200,"ToBoolean"
code-creation,Builtin,5,0x205fd2a5ae20,464,"StringEqual"
code-creation,Builtin,5,0x205fd2a5b000,12667,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,0x205fd2a5e180,12183,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,0x205fd2a61120,134,"Illegal"
code-creation,Builtin,5,0x205fd2a611c0,134,"ObjectAssign"
code-creation,Builtin,5,0x205fd2a61260,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,0x205fd2a61300,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,0x205fd2a613a0,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,0x205fd2a61440,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,0x205fd2a614e0,134,"ObjectIs"
code-creation,Builtin,5,0x205fd2a61580,134,"ObjectPreventExtensions"
code-creation,Builtin,5,0x205fd2a61620,134,"ObjectSeal"
code-creation,Builtin,5,0x205fd2a616c0,888,"ObjectCreate"
code-creation,Builtin,5,0x205fd2a61a40,134,"ObjectDefineProperties"
code-creation,Builtin,5,0x205fd2a61ae0,134,"ObjectDefineProperty"
code-creation,Builtin,5,0x205fd2a61b80,134,"ObjectFreeze"
code-creation,Builtin,5,0x205fd2a61c20,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,0x205fd2a61cc0,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,0x205fd2a61d60,134,"ObjectIsExtensible"
code-creation,Builtin,5,0x205fd2a61e00,134,"ObjectIsFrozen"
code-creation,Builtin,5,0x205fd2a61ea0,134,"ObjectIsSealed"
code-creation,Builtin,5,0x205fd2a61f40,134,"ObjectKeys"
code-creation,Builtin,5,0x205fd2a61fe0,134,"ObjectEntries"
code-creation,Builtin,5,0x205fd2a62080,134,"ObjectValues"
